"title","type","year","length","numVotes","averageRating","director","birthYear","deathYear","genre_animation","genre_action","genre_adventure","genre_comedy","genre_documentary","genre_fantasy","genre_romance","genre_sci_fi","genre_thriller"
"Carmencita","short",1894,1,2004,5.7,"William K.L. Dickson",1860,1935,0,0,0,0,1,0,0,0,0
"Blacksmith Scene","short",1893,1,2685,6.2,"William K.L. Dickson",1860,1935,0,0,0,1,0,0,0,0,0
"Edison Kinetoscopic Record of a Sneeze","short",1894,1,2148,5.4,"William K.L. Dickson",1860,1935,0,0,0,0,1,0,0,0,0
"Leaving the Factory","short",1895,1,7335,6.9,"Louis Lumière",1864,1948,0,0,0,0,1,0,0,0,0
"The Arrival of a Train","short",1896,1,12508,7.4,"Auguste Lumière",1862,1954,0,0,0,0,1,0,0,0,0
"The Waterer Watered","short",1895,1,5641,7.1,"Louis Lumière",1864,1948,0,0,0,1,0,0,0,0,0
"Baby's Meal","short",1895,1,3433,5.9,"Louis Lumière",1864,1948,0,0,0,0,1,0,0,0,0
"Demolition of a Wall","short",1896,1,2707,6.4,"Louis Lumière",1864,1948,0,0,0,0,1,0,0,0,0
"The House of the Devil","short",1896,3,3797,6.7,"Georges Méliès",1861,1938,0,0,0,0,0,0,0,0,0
"The Astronomer's Dream; or, the Man in the Moon","short",1898,3,4537,7.4,"Georges Méliès",1861,1938,0,0,0,1,0,1,0,0,0
"The India Rubber Head","short",1901,3,3069,7.1,"Georges Méliès",1861,1938,0,0,0,1,0,1,0,0,0
"A Trip to the Moon","short",1902,13,53943,8.2,"Georges Méliès",1861,1938,0,1,1,1,0,0,0,0,0
"Alice in Wonderland","short",1903,9,2800,6.2,"Cecil M. Hepworth",1873,1953,0,0,0,0,0,1,0,0,0
"The Great Train Robbery","short",1903,11,20459,7.3,"Edwin S. Porter",1870,1941,0,1,1,0,0,0,0,0,0
"Life of an American Fireman","short",1903,6,2615,6.4,"George S. Fleming",NA,NA,0,1,0,0,0,0,0,0,0
"An Impossible Voyage","short",1904,24,3850,7.5,"Georges Méliès",1861,1938,0,1,1,0,0,0,0,0,0
"A Fantasy","short",1908,2,2723,6.9,"Émile Cohl",1857,1938,1,0,0,1,0,0,0,0,0
"A Corner in Wheat","short",1909,14,2664,6.6,"D.W. Griffith",1875,1948,0,0,0,0,0,0,0,0,0
"Frankenstein","short",1910,16,4592,6.4,"J. Searle Dawley",1877,1949,0,0,0,0,0,1,0,1,0
"The Cameraman's Revenge","short",1912,12,3123,7.7,"Wladyslaw Starewicz",1882,1965,1,0,0,1,0,1,0,0,0
"Dante's Inferno","movie",1911,71,3282,7,"Francesco Bertolini",NA,NA,0,0,1,0,0,1,0,0,0
"The Musketeers of Pig Alley","short",1912,17,2420,6.6,"D.W. Griffith",1875,1948,0,0,0,0,0,0,0,0,0
"Fantômas: In the Shadow of the Guillotine","movie",1913,54,2428,6.9,"Louis Feuillade",1873,1925,0,0,0,0,0,0,0,0,0
